Year,limestone,,,
1968,"88,698",Short tons,"Table 8 crushed and broken stone shipped or used by producers in the United States, in 1968, by use and kind of stone",https://asset.library.wisc.edu/1711.dl/KTO76WXYUT3WS8Q/M/h1380-77e40.jpg
1969,"88,570",Short tons,limestone and dolmite,
1970,"87,041",Short tons,,
1971,"91,417",Short tons,,
1972,"91,901",Short tons,,
1973,"96,958",Short tons,,
1974,"95,441",Short tons,,
1975,"80,128",Short tons,,
1976,"84,737",Short tons,,
1977,"89,856",Short tons,,sold or used
1978,"93,787",Short tons,,
1979,"95,171",Short tons,,
1980,"89,907",Short tons,,
1981,"87,527",Short tons,,
1982,,Short tons,,
1983,"71,308",Short tons,just limestone,
1984,,Short tons,,
1985,"83,398",Short tons,just limestone,https://asset.library.wisc.edu/1711.dl/KMADGJPAXCND58T/M/h1380-4f3ce.jpg
1986,,Short tons,just limestone,
1987,"79,644",Short tons,just limestone,https://asset.library.wisc.edu/1711.dl/EBVIVXNWFT6BQ83/M/h1380-4fc1a.jpg
1988,,,just limestone,
1989,"83,041",Short tons,just limestone,https://asset.library.wisc.edu/1711.dl/6DCBBAIFVHWDS86/M/h1380-757fc.jpg
1990,,,,
1991,"71,833",Short tons,,https://asset.library.wisc.edu/1711.dl/XVMBZKATHW6I78A/M/h1380-cb359.jpg
1992,,,,
1993,"72,843",Short tons,,
1994,"81,400",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630494.pdf
1995,"79,900",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630495.pdf
1996,"80,800",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630496.pdf
1997,"83,000",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630497.pdf
1998,"90,000",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630498.pdf
1999,"88,900",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630499.pdf
2000,"96,900",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/630400.pdf
2001,"72,700",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/crusmyb01.pdf
2002,"67,100",Metric Tons,,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/stone-crushed/cstonmyb02r.pdf
2003,"84,500",Metric Tons,,
2004,"79,300",Metric Tons,,
2005,"70,900",Metric Tons,,
2006,"71,700",Metric Tons,,
2007,"84,400",Metric Tons,,
2008,"84,200",Metric Tons,,
2009,"48,900",Metric Tons,,
2010,"50,900",Metric Tons,,
2011,"57,000",Metric Tons,,
2012,"56,800",Metric Tons,,
2013,"58,500",Metric Tons,,
2014,"58,200",Metric Tons,,
2015,"76,700",Metric Tons,,
2016,"70,900",Metric Tons,,
2017,"98,100",Metric Tons,,
2018,,Metric Tons,,
2019,"109,000",Metric Tons,,
2020,"106,000",Metric Tons,,
2021,"110,000",Metric Tons,,